DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","8","316","1","1","High","Shape",0,988
"Preattentive experiment","8","317","1","2","High","Width_Shape",1,2979
"Preattentive experiment","8","318","1","2","High","Width_Shape",0,6731
"Preattentive experiment","8","319","1","3","High","Width",0,2027
"Preattentive experiment","8","320","1","4","High","Width_Shape",0,11410
"Preattentive experiment","8","321","1","5","High","Shape",0,1052
"Preattentive experiment","8","322","1","6","High","Width",0,1322
"Preattentive experiment","8","323","1","7","High","Width_Shape",0,2550
"Preattentive experiment","8","324","1","8","High","Width",0,1308
"Preattentive experiment","8","325","1","9","High","Width_Shape",0,2140
"Preattentive experiment","8","326","1","10","High","Shape",0,1523
"Preattentive experiment","8","327","1","10","High","Shape",0,878
"Preattentive experiment","8","328","1","11","High","Width",0,728
"Preattentive experiment","8","329","1","12","High","Shape",0,3943
"Preattentive experiment","8","330","1","13","High","Width",0,1433
"Preattentive experiment","8","331","2","1","Medium","Shape",0,917
"Preattentive experiment","8","332","2","2","Medium","Width_Shape",0,1521
"Preattentive experiment","8","333","2","2","Medium","Width_Shape",0,1848
"Preattentive experiment","8","334","2","3","Medium","Width",0,1072
"Preattentive experiment","8","335","2","4","Medium","Width_Shape",0,2907
"Preattentive experiment","8","336","2","5","Medium","Shape",0,727
"Preattentive experiment","8","337","2","6","Medium","Width",0,2216
"Preattentive experiment","8","338","2","7","Medium","Width_Shape",0,1405
"Preattentive experiment","8","339","2","8","Medium","Width",0,707
"Preattentive experiment","8","340","2","9","Medium","Width_Shape",0,1637
"Preattentive experiment","8","341","2","10","Medium","Shape",0,1525
"Preattentive experiment","8","342","2","10","Medium","Shape",0,2091
"Preattentive experiment","8","343","2","11","Medium","Width",0,777
"Preattentive experiment","8","344","2","12","Medium","Shape",0,1031
"Preattentive experiment","8","345","2","13","Medium","Width",0,922
"Preattentive experiment","8","346","3","1","Low","Shape",0,784
"Preattentive experiment","8","347","3","2","Low","Width_Shape",0,2518
"Preattentive experiment","8","348","3","2","Low","Width_Shape",0,1665
"Preattentive experiment","8","349","3","3","Low","Width",0,1572
"Preattentive experiment","8","350","3","4","Low","Width_Shape",1,2133
"Preattentive experiment","8","351","3","5","Low","Shape",0,1391
"Preattentive experiment","8","352","3","6","Low","Width",0,1426
"Preattentive experiment","8","353","3","7","Low","Width_Shape",1,3210
"Preattentive experiment","8","354","3","8","Low","Width",0,798
"Preattentive experiment","8","355","3","9","Low","Width_Shape",0,4853
"Preattentive experiment","8","356","3","10","Low","Shape",0,1057
"Preattentive experiment","8","357","3","10","Low","Shape",0,1016
"Preattentive experiment","8","358","3","11","Low","Width",0,877
"Preattentive experiment","8","359","3","12","Low","Shape",0,926
"Preattentive experiment","8","360","3","13","Low","Width",0,664
