DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","5","181","1","1","High","Shape",0,1431
"Preattentive experiment","5","182","1","2","High","Width_Shape",0,3904
"Preattentive experiment","5","183","1","2","High","Width_Shape",0,1155
"Preattentive experiment","5","184","1","3","High","Width",0,879
"Preattentive experiment","5","185","1","4","High","Width_Shape",0,3142
"Preattentive experiment","5","186","1","5","High","Shape",0,1034
"Preattentive experiment","5","187","1","6","High","Width",0,1145
"Preattentive experiment","5","188","1","7","High","Width_Shape",0,2739
"Preattentive experiment","5","189","1","8","High","Width",0,923
"Preattentive experiment","5","190","1","9","High","Width_Shape",0,2066
"Preattentive experiment","5","191","1","10","High","Shape",0,925
"Preattentive experiment","5","192","1","10","High","Shape",0,826
"Preattentive experiment","5","193","1","11","High","Width",0,857
"Preattentive experiment","5","194","1","12","High","Shape",0,786
"Preattentive experiment","5","195","1","13","High","Width",0,1151
"Preattentive experiment","5","196","2","1","Medium","Shape",0,864
"Preattentive experiment","5","197","2","2","Medium","Width_Shape",0,1457
"Preattentive experiment","5","198","2","2","Medium","Width_Shape",2,1320
"Preattentive experiment","5","199","2","3","Medium","Width",0,1425
"Preattentive experiment","5","200","2","4","Medium","Width_Shape",0,1026
"Preattentive experiment","5","201","2","5","Medium","Shape",0,788
"Preattentive experiment","5","202","2","6","Medium","Width",0,1022
"Preattentive experiment","5","203","2","7","Medium","Width_Shape",0,1468
"Preattentive experiment","5","204","2","8","Medium","Width",0,882
"Preattentive experiment","5","205","2","9","Medium","Width_Shape",0,2113
"Preattentive experiment","5","206","2","10","Medium","Shape",0,811
"Preattentive experiment","5","207","2","10","Medium","Shape",0,819
"Preattentive experiment","5","208","2","11","Medium","Width",0,868
"Preattentive experiment","5","209","2","12","Medium","Shape",0,884
"Preattentive experiment","5","210","2","13","Medium","Width",0,768
"Preattentive experiment","5","211","3","1","Low","Shape",0,698
"Preattentive experiment","5","212","3","2","Low","Width_Shape",2,1462
"Preattentive experiment","5","213","3","2","Low","Width_Shape",0,2422
"Preattentive experiment","5","214","3","3","Low","Width",0,678
"Preattentive experiment","5","215","3","4","Low","Width_Shape",0,906
"Preattentive experiment","5","216","3","5","Low","Shape",0,725
"Preattentive experiment","5","217","3","6","Low","Width",0,773
"Preattentive experiment","5","218","3","7","Low","Width_Shape",2,1430
"Preattentive experiment","5","219","3","8","Low","Width",0,737
"Preattentive experiment","5","220","3","9","Low","Width_Shape",0,2607
"Preattentive experiment","5","221","3","10","Low","Shape",0,789
"Preattentive experiment","5","222","3","10","Low","Shape",0,1082
"Preattentive experiment","5","223","3","11","Low","Width",0,705
"Preattentive experiment","5","224","3","12","Low","Shape",0,586
"Preattentive experiment","5","225","3","13","Low","Width",0,719
