DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","2","46","1","1","High","Shape",0,884
"Preattentive experiment","2","47","1","2","High","Width_Shape",2,856
"Preattentive experiment","2","48","1","2","High","Width_Shape",1,4948
"Preattentive experiment","2","49","1","3","High","Width",0,978
"Preattentive experiment","2","50","1","4","High","Width_Shape",0,3197
"Preattentive experiment","2","51","1","5","High","Shape",0,991
"Preattentive experiment","2","52","1","6","High","Width",0,711
"Preattentive experiment","2","53","1","7","High","Width_Shape",0,3857
"Preattentive experiment","2","54","1","8","High","Width",0,1017
"Preattentive experiment","2","55","1","9","High","Width_Shape",0,1404
"Preattentive experiment","2","56","1","10","High","Shape",0,697
"Preattentive experiment","2","57","1","10","High","Shape",0,917
"Preattentive experiment","2","58","1","11","High","Width",0,643
"Preattentive experiment","2","59","1","12","High","Shape",0,659
"Preattentive experiment","2","60","1","13","High","Width",0,681
"Preattentive experiment","2","61","2","1","Medium","Shape",0,892
"Preattentive experiment","2","62","2","2","Medium","Width_Shape",0,1023
"Preattentive experiment","2","63","2","2","Medium","Width_Shape",1,1419
"Preattentive experiment","2","64","2","3","Medium","Width",0,577
"Preattentive experiment","2","65","2","4","Medium","Width_Shape",1,1202
"Preattentive experiment","2","66","2","5","Medium","Shape",0,607
"Preattentive experiment","2","67","2","6","Medium","Width",0,582
"Preattentive experiment","2","68","2","7","Medium","Width_Shape",0,670
"Preattentive experiment","2","69","2","8","Medium","Width",0,577
"Preattentive experiment","2","70","2","9","Medium","Width_Shape",0,1007
"Preattentive experiment","2","71","2","10","Medium","Shape",0,612
"Preattentive experiment","2","72","2","10","Medium","Shape",0,529
"Preattentive experiment","2","73","2","11","Medium","Width",0,464
"Preattentive experiment","2","74","2","12","Medium","Shape",0,496
"Preattentive experiment","2","75","2","13","Medium","Width",0,427
"Preattentive experiment","2","76","3","1","Low","Shape",0,409
"Preattentive experiment","2","77","3","2","Low","Width_Shape",0,430
"Preattentive experiment","2","78","3","2","Low","Width_Shape",2,1172
"Preattentive experiment","2","79","3","3","Low","Width",0,687
"Preattentive experiment","2","80","3","4","Low","Width_Shape",0,1740
"Preattentive experiment","2","81","3","5","Low","Shape",0,888
"Preattentive experiment","2","82","3","6","Low","Width",0,672
"Preattentive experiment","2","83","3","7","Low","Width_Shape",2,1734
"Preattentive experiment","2","84","3","8","Low","Width",0,631
"Preattentive experiment","2","85","3","9","Low","Width_Shape",1,1129
"Preattentive experiment","2","86","3","10","Low","Shape",0,711
"Preattentive experiment","2","87","3","10","Low","Shape",0,541
"Preattentive experiment","2","88","3","11","Low","Width",0,661
"Preattentive experiment","2","89","3","12","Low","Shape",0,604
"Preattentive experiment","2","90","3","13","Low","Width",0,1624
