DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","1","1","1","1","Medium","Shape",0,784
"Preattentive experiment","1","2","1","2","Medium","Width_Shape",1,5535
"Preattentive experiment","1","3","1","2","Medium","Width_Shape",0,2201
"Preattentive experiment","1","4","1","3","Medium","Width",0,1239
"Preattentive experiment","1","5","1","4","Medium","Width_Shape",0,1334
"Preattentive experiment","1","6","1","5","Medium","Shape",0,548
"Preattentive experiment","1","7","1","6","Medium","Width",0,547
"Preattentive experiment","1","8","1","7","Medium","Width_Shape",1,933
"Preattentive experiment","1","9","1","8","Medium","Width",0,487
"Preattentive experiment","1","10","1","9","Medium","Width_Shape",0,1649
"Preattentive experiment","1","11","1","10","Medium","Shape",0,536
"Preattentive experiment","1","12","1","10","Medium","Shape",0,564
"Preattentive experiment","1","13","1","11","Medium","Width",0,474
"Preattentive experiment","1","14","1","12","Medium","Shape",0,506
"Preattentive experiment","1","15","1","13","Medium","Width",0,511
"Preattentive experiment","1","16","2","1","Low","Shape",0,503
"Preattentive experiment","1","17","2","2","Low","Width_Shape",2,1342
"Preattentive experiment","1","18","2","2","Low","Width_Shape",0,1885
"Preattentive experiment","1","19","2","3","Low","Width",0,593
"Preattentive experiment","1","20","2","4","Low","Width_Shape",0,1319
"Preattentive experiment","1","21","2","5","Low","Shape",0,654
"Preattentive experiment","1","22","2","6","Low","Width",0,526
"Preattentive experiment","1","23","2","7","Low","Width_Shape",0,1764
"Preattentive experiment","1","24","2","8","Low","Width",0,513
"Preattentive experiment","1","25","2","9","Low","Width_Shape",0,2238
"Preattentive experiment","1","26","2","10","Low","Shape",0,454
"Preattentive experiment","1","27","2","10","Low","Shape",0,397
"Preattentive experiment","1","28","2","11","Low","Width",0,415
"Preattentive experiment","1","29","2","12","Low","Shape",0,479
"Preattentive experiment","1","30","2","13","Low","Width",0,411
"Preattentive experiment","1","31","3","1","High","Shape",0,716
"Preattentive experiment","1","32","3","2","High","Width_Shape",1,1732
"Preattentive experiment","1","33","3","2","High","Width_Shape",0,3909
"Preattentive experiment","1","34","3","3","High","Width",0,563
"Preattentive experiment","1","35","3","4","High","Width_Shape",1,1158
"Preattentive experiment","1","36","3","5","High","Shape",0,499
"Preattentive experiment","1","37","3","6","High","Width",0,482
"Preattentive experiment","1","38","3","7","High","Width_Shape",0,1723
"Preattentive experiment","1","39","3","8","High","Width",0,553
"Preattentive experiment","1","40","3","9","High","Width_Shape",0,1997
"Preattentive experiment","1","41","3","10","High","Shape",0,615
"Preattentive experiment","1","42","3","10","High","Shape",0,483
"Preattentive experiment","1","43","3","11","High","Width",0,549
"Preattentive experiment","1","44","3","12","High","Shape",0,774
"Preattentive experiment","1","45","3","13","High","Width",0,616
