DesignName,ParticipantID,TrialID,Block1,Block2,OC,VV,Errors,ExeTime
"Preattentive experiment","3","91","1","1","Low","Shape",1,904
"Preattentive experiment","3","92","1","2","Low","Width_Shape",1,1959
"Preattentive experiment","3","93","1","2","Low","Width_Shape",0,4833
"Preattentive experiment","3","94","1","3","Low","Width",0,965
"Preattentive experiment","3","95","1","4","Low","Width_Shape",0,2313
"Preattentive experiment","3","96","1","5","Low","Shape",0,566
"Preattentive experiment","3","97","1","6","Low","Width",0,635
"Preattentive experiment","3","98","1","7","Low","Width_Shape",0,2242
"Preattentive experiment","3","99","1","8","Low","Width",0,695
"Preattentive experiment","3","100","1","9","Low","Width_Shape",0,1423
"Preattentive experiment","3","101","1","10","Low","Shape",0,630
"Preattentive experiment","3","102","1","10","Low","Shape",0,559
"Preattentive experiment","3","103","1","11","Low","Width",0,516
"Preattentive experiment","3","104","1","12","Low","Shape",0,570
"Preattentive experiment","3","105","1","13","Low","Width",0,555
"Preattentive experiment","3","106","2","1","High","Shape",0,829
"Preattentive experiment","3","107","2","2","High","Width_Shape",0,6274
"Preattentive experiment","3","108","2","2","High","Width_Shape",0,1611
"Preattentive experiment","3","109","2","3","High","Width",0,755
"Preattentive experiment","3","110","2","4","High","Width_Shape",0,5158
"Preattentive experiment","3","111","2","5","High","Shape",0,753
"Preattentive experiment","3","112","2","6","High","Width",0,679
"Preattentive experiment","3","113","2","7","High","Width_Shape",0,4493
"Preattentive experiment","3","114","2","8","High","Width",0,516
"Preattentive experiment","3","115","2","9","High","Width_Shape",0,6480
"Preattentive experiment","3","116","2","10","High","Shape",0,566
"Preattentive experiment","3","117","2","10","High","Shape",0,564
"Preattentive experiment","3","118","2","11","High","Width",0,656
"Preattentive experiment","3","119","2","12","High","Shape",0,723
"Preattentive experiment","3","120","2","13","High","Width",0,613
"Preattentive experiment","3","121","3","1","Medium","Shape",0,537
"Preattentive experiment","3","122","3","2","Medium","Width_Shape",0,2640
"Preattentive experiment","3","123","3","2","Medium","Width_Shape",0,6716
"Preattentive experiment","3","124","3","3","Medium","Width",0,583
"Preattentive experiment","3","125","3","4","Medium","Width_Shape",0,2911
"Preattentive experiment","3","126","3","5","Medium","Shape",0,668
"Preattentive experiment","3","127","3","6","Medium","Width",0,532
"Preattentive experiment","3","128","3","7","Medium","Width_Shape",0,1750
"Preattentive experiment","3","129","3","8","Medium","Width",0,475
"Preattentive experiment","3","130","3","9","Medium","Width_Shape",0,2500
"Preattentive experiment","3","131","3","10","Medium","Shape",0,585
"Preattentive experiment","3","132","3","10","Medium","Shape",0,906
"Preattentive experiment","3","133","3","11","Medium","Width",0,493
"Preattentive experiment","3","134","3","12","Medium","Shape",0,603
"Preattentive experiment","3","135","3","13","Medium","Width",0,637
